% sigmasweep (S/m)                                Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)                      Admittance, 12 component (S)
1.0E-4                                            -5.3647873162624293E-11-6.346341686543451E-7i     -1.0498831936032225E-11-7.874920910239802E-7i     -4.016749090291901E-12-8.414473506146937E-7i      -2.1410664461670436E-12-8.658978597437481E-7i     -1.3340097328916536E-12-8.799969042735466E-7i
1.0471285480508996E-4                             -5.6176219174554265E-11-6.346341698435963E-7i     -1.0993626634864946E-11-7.874920911014096E-7i     -4.206052641967858E-12-8.41447350632049E-7i       -2.241971798825774E-12-8.658978597504014E-7i      -1.3968796746014306E-12-8.799969042768206E-7i
1.0964781961431851E-4                             -5.882372241021741E-11-6.346341711475762E-7i      -1.151174028846921E-11-7.874920911862871E-7i      -4.404277795056035E-12-8.414473506510561E-7i      -2.347632674213602E-12-8.6589785975769E-7i        -1.4627125853688774E-12-8.799969042803545E-7i
1.148153621496883E-4                              -6.15959985687652E-11-6.346341725773646E-7i       -1.2054271885178562E-11-7.874920912793812E-7i     -4.611845011656096E-12-8.414473506718961E-7i      -2.458273193209904E-12-8.658978597656536E-7i      -1.5316481056181751E-12-8.79996904284245E-7i
1.2022644346174131E-4                             -6.44989280078748E-11-6.346341741450949E-7i       -1.2622372207029591E-11-7.874920913814446E-7i     -4.829194569633177E-12-8.414473506947457E-7i      -2.5741280391762065E-12-8.658978597743917E-7i     -1.603832456833304E-12-8.799969042885003E-7i
1.2589254117941674E-4                             -6.753866821664853E-11-6.346341758640788E-7i      -1.3217246270730696E-11-7.874920914933797E-7i     -5.056787496508304E-12-8.414473507198067E-7i      -2.6954429557670784E-12-8.658978597840242E-7i     -1.6794187516898018E-12-8.799969042931822E-7i
1.3182567385564074E-4                             -7.072166687622369E-11-6.346341777489115E-7i      -1.3840155883644018E-11-7.874920916160641E-7i     -5.29510654736092E-12-8.41447350747305E-7i        -2.8224752681756226E-12-8.658978597945026E-7i     -1.7585673188565174E-12-8.799969042983307E-7i
1.3803842646028852E-4                             -7.405467553573549E-11-6.346341798155708E-7i      -1.4492422320247015E-11-7.874920917506168E-7i     -5.544657228805521E-12-8.414473507774358E-7i      -2.9554944289595344E-12-8.658978598060211E-7i     -1.8414460430466456E-12-8.799969043039577E-7i
1.445439770745928E-4                              -7.75447639330941E-11-6.346341820816241E-7i       -1.5175429124723137E-11-7.874920918981597E-7i     -5.805968871250062E-12-8.414473508104659E-7i      -3.0947825895738736E-12-8.658978598186607E-7i     -1.92823072114221E-12-8.799969043101184E-7i
1.5135612484362088E-4                             -8.11993349904215E-11-6.346341845663067E-7i       -1.5890625045662565E-11-7.874920920598932E-7i     -6.079595751667857E-12-8.414473508466575E-7i      -3.24063519887161E-12-8.658978598325202E-7i       -2.0191054350785463E-12-8.799969043168587E-7i
1.5848931924611142E-4                             -8.502614051602075E-11-6.346341872907156E-7i      -1.6639527108992602E-11-7.874920922372673E-7i     -6.3661182692978076E-12-8.41447350886397E-7i      -3.3933616297720297E-12-8.658978598477072E-7i     -2.1142629422964407E-12-8.799969043243254E-7i
1.6595869074375615E-4                             -8.903329764673466E-11-6.346341902779445E-7i      -1.742372383584333E-11-7.874920924317678E-7i      -6.666144176739225E-12-8.414473509299675E-7i      -3.5532858354972565E-12-8.658978598643931E-7i     -2.213905084624601E-12-8.799969043324178E-7i
